candidate_key,wb,exposure_mode,target_median,low_pct,high_pct,user_wb,notes
c113,daylight,percentile,0.38,0.5,99.5,,defaults
c114,daylight,percentile,0.38,0.5,99.5,,defaults
c115,daylight,percentile,0.38,0.5,99.5,,defaults
c117,daylight,percentile,0.38,0.5,99.5,,defaults
c118,daylight,percentile,0.38,0.5,99.5,,defaults
c119,daylight,percentile,0.38,0.5,99.5,,defaults
c120,daylight,percentile,0.38,0.5,99.5,,defaults
c121,daylight,percentile,0.38,0.5,99.5,,defaults
c122,daylight,percentile,0.38,0.5,99.5,,defaults
c123,daylight,percentile,0.38,0.5,99.5,,defaults
c125,daylight,percentile,0.38,0.5,99.5,,defaults
c126,daylight,percentile,0.38,0.5,99.5,,defaults
c127,daylight,percentile,0.38,0.5,99.5,,defaults
c128,daylight,percentile,0.38,0.5,99.5,,defaults
c129,daylight,percentile,0.38,0.5,99.5,,defaults
c130,daylight,percentile,0.38,0.5,99.5,,defaults
c131,daylight,percentile,0.38,0.5,99.5,,defaults
c132,daylight,percentile,0.38,0.5,99.5,,defaults
c133,daylight,percentile,0.38,0.5,99.5,,defaults
c134,daylight,percentile,0.38,0.5,99.5,,defaults
c135,daylight,percentile,0.38,0.5,99.5,,defaults
c136,daylight,percentile,0.38,0.5,99.5,,defaults
c137,daylight,percentile,0.38,0.5,99.5,,defaults
c138,daylight,percentile,0.38,0.5,99.5,,defaults
c139,daylight,percentile,0.38,0.5,99.5,,defaults
c140,daylight,percentile,0.38,0.5,99.5,,defaults
c141,daylight,percentile,0.38,0.5,99.5,,defaults
c142,daylight,percentile,0.38,0.5,99.5,,defaults
c143,daylight,percentile,0.38,0.5,99.5,,defaults
c144,daylight,percentile,0.38,0.5,99.5,,defaults
c145,daylight,percentile,0.38,0.5,99.5,,defaults
c146,daylight,percentile,0.38,0.5,99.5,,defaults
c147,daylight,percentile,0.38,0.5,99.5,,defaults
c148,daylight,percentile,0.38,0.5,99.5,,defaults
c149,daylight,percentile,0.38,0.5,99.5,,defaults
c150,daylight,percentile,0.38,0.5,99.5,,defaults
c151,daylight,percentile,0.38,0.5,99.5,,defaults
c152,daylight,percentile,0.38,0.5,99.5,,defaults
c153,daylight,percentile,0.38,0.5,99.5,,defaults
c154,daylight,percentile,0.38,0.5,99.5,,defaults
c155,daylight,percentile,0.38,0.5,99.5,,defaults
c156,daylight,percentile,0.38,0.5,99.5,,defaults
c157,daylight,percentile,0.38,0.5,99.5,,defaults
c159,daylight,percentile,0.38,0.5,99.5,,defaults
c160,daylight,percentile,0.38,0.5,99.5,,defaults
c161,daylight,percentile,0.38,0.5,99.5,,defaults
c162,daylight,percentile,0.38,0.5,99.5,,defaults
c163,daylight,percentile,0.38,0.5,99.5,,defaults
c164,daylight,percentile,0.38,0.5,99.5,,defaults
c165,daylight,percentile,0.38,0.5,99.5,,defaults
c166,daylight,percentile,0.38,0.5,99.5,,defaults
c167,daylight,percentile,0.38,0.5,99.5,,defaults
c168,daylight,percentile,0.38,0.5,99.5,,defaults
c169,daylight,percentile,0.38,0.5,99.5,,defaults
c170,daylight,percentile,0.38,0.5,99.5,,defaults
c171,daylight,percentile,0.38,0.5,99.5,,defaults
c172,daylight,percentile,0.38,0.5,99.5,,defaults
c173,daylight,percentile,0.38,0.5,99.5,,defaults
c174,daylight,percentile,0.38,0.5,99.5,,defaults
c175,daylight,percentile,0.38,0.5,99.5,,defaults
c176,daylight,percentile,0.38,0.5,99.5,,defaults
c177,daylight,percentile,0.38,0.5,99.5,,defaults
c178,daylight,percentile,0.38,0.5,99.5,,defaults
c179,daylight,percentile,0.38,0.5,99.5,,defaults
c180,daylight,percentile,0.38,0.5,99.5,,defaults
c181,daylight,percentile,0.38,0.5,99.5,,defaults
c182,daylight,percentile,0.38,0.5,99.5,,defaults
c183,daylight,percentile,0.38,0.5,99.5,,defaults
c184,daylight,percentile,0.38,0.5,99.5,,defaults
c185,daylight,percentile,0.38,0.5,99.5,,defaults
c186,daylight,percentile,0.38,0.5,99.5,,defaults
c187,daylight,percentile,0.38,0.5,99.5,,defaults
c188,daylight,percentile,0.38,0.5,99.5,,defaults
c189,daylight,percentile,0.38,0.5,99.5,,defaults
c190,daylight,percentile,0.38,0.5,99.5,,defaults
c191,daylight,percentile,0.38,0.5,99.5,,defaults
c192,daylight,percentile,0.38,0.5,99.5,,defaults
c193,daylight,percentile,0.38,0.5,99.5,,defaults
c194,daylight,percentile,0.38,0.5,99.5,,defaults
c195,daylight,percentile,0.38,0.5,99.5,,defaults
c196,daylight,percentile,0.38,0.5,99.5,,defaults
c197,daylight,percentile,0.38,0.5,99.5,,defaults
c198,daylight,percentile,0.38,0.5,99.5,,defaults
c199,daylight,percentile,0.38,0.5,99.5,,defaults
c200,daylight,percentile,0.38,0.5,99.5,,defaults
c201,daylight,percentile,0.38,0.5,99.5,,defaults
c202,daylight,percentile,0.38,0.5,99.5,,defaults
c203,daylight,percentile,0.38,0.5,99.5,,defaults
c204,daylight,percentile,0.38,0.5,99.5,,defaults
